"mean","lo95","lo90","hi90","hi95","beta"
0.917047864732742,-13.675975582431,-11.4438031081622,14.6831849097859,14.8047067616211,"Intercept"
1.77387505813717,-12.1181425317958,-9.77283147279741,13.4042355455984,15.626014694229,"domzp1"
1.65579548146582,-12.7147590164497,-10.2145447577179,12.6740179073137,14.8949368943155,"domzp2"
-0.791105950279418,-15.7255260649192,-13.487917132464,10.8845851024881,13.913413632005,"domzp3"
-1.20390450643043,-8.85274410901934,-7.42000665393167,5.68330340875928,7.00042412876525,"domzp4"
0.308639831479819,-7.422049109248,-5.9301988327485,7.15602735921799,8.84695283063786,"domzp5"
-2.97297285331918,-17.0748887095358,-14.6315183438458,9.77289172237196,12.4063973249887,"domzp6"
-0.850326143986205,-9.15989109954812,-7.68993885993028,5.67270971877662,7.29706050199441,"domzp8"
0.124885781419775,-7.38353427629818,-5.90994736448725,6.15254360981629,7.54899624580006,"domzp9"
0.757862919034758,-9.65065706514094,-7.75489107564135,8.52384880044596,10.6107541163905,"domzp10"
